id,distance,g1_id,g1_mag,g1_rad,g1_z,g1_type,g2_id,g2_mag,g2_rad,g2_z,g2_type,g1_flux,g2_flux,g1_flux_b2f,g2_flux_b2f,g1_flux_sex,g2_flux_sex,g1_flux_b2m2f,g2_flux_b2m2f,detection,g1_sex_mag,g2_sex_mag
2,14.764823000000002,30029,22.010464,6.3164989999999985,0.89,irr,105111,22.05232,7.3017059999999985,1.47,disk,38.00269533720144,36.56554071820377,34.54697,39.75956,33.9036979675293,20.174837112426758,36.765892,34.583828000000004,2,21.844382323865208,22.407974907494882
4,9.848858,146225,19.544067,9.747964,0.6393,irr,9177,18.325706,5.642047,0.2216,sphd,368.4454519425868,1131.6642592168635,390.69125,1573.2747,1822.2320556640625,7.707977294921875,496.5573,1224.6099,2,17.518490794426924,23.45264893324614
5,6.403124,127541,20.230801,1.6706279999999998,1.19,sph,174680,21.188835,6.282536,1.35,irr,195.74000721906464,80.99645287816577,223.84738,60.113873,,245.3262481689453,215.32451,60.427017000000006,1,,19.695639957194167
6,18.35756,62515,19.457512,6.070078,0.605,sphd,182509,21.195305,5.946599,1.1,sphd,399.0204922003122,80.51522297817532,399.65152,85.315506,331.74993896484375,68.02001190185547,398.02386,84.80601,2,19.367972870911903,21.088408241030674
7,46.69047,34746,22.092623,21.092403,0.86,irr,81484,21.224497,11.921476,0.9795,irr,35.23309541989522,78.3792674231819,27.419966,89.23931999999998,3.091127872467041,56.52592849731445,20.674442000000006,81.70684,2,24.4447075721378,21.289380737960784
9,8.0,178367,21.911352,5.376684,1.25,irr,44558,21.93935,5.970325,1.27,irr,41.635060493379186,40.575137478799185,31.650509999999997,49.080326,39.27045822143555,27.55438995361328,38.665714,41.75712,3,21.684835078000432,22.069522999222144
10,10.816654,144399,22.535004,5.396987,1.3685,irr,11238,21.878468,4.085104,0.68,sphd,23.442201788777126,42.91536395254713,24.71074500000001,42.954193,10.35020637512207,39.95965576171875,23.734385,42.42262,2,23.132627476560376,21.665945654307706
11,30.016662,31088,19.273714,9.503718,0.6,sphd,137346,20.528303,8.130088,0.778,irr,472.62250748952164,148.82599678924566,459.0682,189.16484,380.15374755859375,169.280029296875,458.46677,180.52478,2,19.220101809694384,20.098485686206583
12,9.055385,105932,22.074982,2.857721,1.41,sph,59326,22.11064,3.2808589999999995,0.877,sphd,35.81023738939765,34.653252255781176,37.82415,33.891476000000004,20.984880447387695,27.24347496032715,38.72576,32.794247,2,22.365233751643228,22.081843745216517
14,11.045361,137977,21.106289,4.026228,0.6555,sphd,121429,21.274893,4.18487,0.8,sphd,87.39455996146576,74.82432367290573,86.2634,75.29651,66.87016296386719,66.23360443115234,87.35615,73.6096,2,21.106919046037113,21.11730402503698
